URN,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (code),TypeOfEstablishment (name),EstablishmentTypeGroup (code),EstablishmentTypeGroup (name),EstablishmentStatus (code),EstablishmentStatus (name),ReasonEstablishmentOpened (code),ReasonEstablishmentOpened (name),OpenDate,ReasonEstablishmentClosed (code),ReasonEstablishmentClosed (name),CloseDate,PhaseOfEducation (code),PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Boarders (code),Boarders (name),NurseryProvision (name),OfficialSixthForm (code),OfficialSixthForm (name),Gender (code),Gender (name),ReligiousCharacter (code),ReligiousCharacter (name),ReligiousEthos (name),Diocese (code),Diocese (name),AdmissionsPolicy (code),AdmissionsPolicy (name),SchoolCapacity,SpecialClasses (code),SpecialClasses (name),CensusDate,NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,TrustSchoolFlag (code),TrustSchoolFlag (name),Trusts (code),Trusts (name),SchoolSponsorFlag (name),SchoolSponsors (name),FederationFlag (name),Federations (code),Federations (name),UKPRN,FEHEIdentifier,FurtherEducationType (name),OfstedLastInsp,OfstedSpecialMeasures (code),OfstedSpecialMeasures (name),LastChangedDate,Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,HeadPreferredJobTitle,BSOInspectorateName (name),InspectorateReport,DateOfLastInspectionVisit,NextInspectionVisit,TeenMoth (name),TeenMothPlaces,CCF (name),SENPRU (name),EBD (name),PlacesPRU,FTProv (name),EdByOther (name),Section41Approved (name),SEN1 (name),SEN2 (name),SEN3 (name),SEN4 (name),SEN5 (name),SEN6 (name),SEN7 (name),SEN8 (name),SEN9 (name),SEN10 (name),SEN11 (name),SEN12 (name),SEN13 (name),TypeOfResourcedProvision (name),ResourcedProvisionOnRoll,ResourcedProvisionCapacity,SenUnitOnRoll,SenUnitCapacity,GOR (code),GOR (name),DistrictAdministrative (code),DistrictAdministrative (name),AdministrativeWard (code),AdministrativeWard (name),ParliamentaryConstituency (code),ParliamentaryConstituency (name),UrbanRural (code),UrbanRural (name),GSSLACode (name),Easting,Northing,MSOA (name),LSOA (name),InspectorateName (name),SENStat,SENNoStat,BoardingEstablishment (name),PropsName,PreviousLA (code),PreviousLA (name),PreviousEstablishmentNumber,OfstedRating (name),RSCRegion (name),Country (name),UPRN,SiteName,QABName (code),QABName (name),EstablishmentAccredited (code),EstablishmentAccredited (name),QABReport,CHNumber,MSOA (code),LSOA (code),FSM,AccreditationExpiryDate
107806,"383","Leeds","1000","Hunslet Nursery School","15","Local authority nursery school","4","Local authority maintained schools","2","Closed","00","Not applicable","","00","Not applicable","31-08-1998","1","Nursery",3,5,"1","No boarders","Not applicable","0","Not applicable","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable","","0","Not applicable","","","","","","0","Not applicable","","","Not applicable","","Not under a federation","","","","","Not applicable","","0","Not applicable","29-11-2019","Sussex Gardens","Off Low Road","","Leeds","West Yorkshire","LS10 2LA","","","","","","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011399","Hunslet & Riverside","E14000777","Leeds Central","A1","(England/Wales) Urban major conurbation","E08000035",431887,431208,"Leeds 112","Leeds 112B","","","","","","999","","","","Lancashire and West Yorkshire","","72258232","","0","Not applicable","0","Not applicable","","","E02006876","E01011468","",""
107807,"383","Leeds","1100","The Armley Park Centre","14","Pupil referral unit","4","Local authority maintained schools","2","Closed","00","Not applicable","","00","Not applicable","01-06-2000","0","Not applicable",5,18,"1","No boarders","Not applicable","0","Not applicable","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable","","0","Not applicable","","","","","","0","Not applicable","","","Not applicable","","Not applicable","","","","","Not applicable","","0","Not applicable","29-11-2019","Rombalds Avenue","","","Leeds","West Yorkshire","LS12 2BB","","","Mrs","E A","Rezvani","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011385","Armley","E14000781","Leeds West","A1","(England/Wales) Urban major conurbation","E08000035",427186,433998,"Leeds 071","Leeds 071A","","","","","","999","","","","Lancashire and West Yorkshire","","","","0","Not applicable","0","Not applicable","","","E02002400","E01011284","",""
107808,"383","Leeds","1101","The Craven Road Centre","14","Pupil referral unit","4","Local authority maintained schools","2","Closed","00","Not applicable","","00","Not applicable","01-01-2000","0","Not applicable",5,18,"1","No boarders","Not applicable","0","Not applicable","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable","","0","Not applicable","","","","","","0","Not applicable","","","Not applicable","","Not applicable","","","","","Not applicable","","0","Not applicable","29-11-2019","Woodhouse Community Complex","Crowther Place","","Leeds","West Yorkshire","LS6 2SN","","","Mr","S J","Bean","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011403","Little London & Woodhouse","E14000777","Leeds Central","A1","(England/Wales) Urban major conurbation","E08000035",429872,435419,"Leeds 055","Leeds 055A","","","","","","999","","","","Lancashire and West Yorkshire","","72051834","","0","Not applicable","0","Not applicable","","","E02002384","E01011670","",""
107809,"383","Leeds","2270","Guiseley Primary School","05","Foundation school","4","Local authority maintained schools","1","Open","00","Not applicable","","00","Not applicable","","2","Primary",2,11,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",498,"2","No Special Classes","20-01-2022","467","249","218","12.00","1","Supported by a trust","1962","Aireborough Learning Partnership","Not applicable","","Not under a federation","","",10073040,"","Not applicable","22-03-2018","0","Not applicable","03-06-2023","Oxford Road","Guiseley","Guiseley Primary School","Leeds","West Yorkshire","LS20 9DA","www.guiseleyprimary.org","01943873359","Mrs","Fiona","Wharton","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011395","Guiseley & Rawdon","E14000886","Pudsey","A1","(England/Wales) Urban major conurbation","E08000035",419098,442258,"Leeds 008","Leeds 008C","","","","","","999","","","Good","Lancashire and West Yorkshire","","72293547","","0","Not applicable","0","Not applicable","","","E02002337","E01011279","56",""
107810,"383","Leeds","2271","Rawdon Littlemoor Primary School","05","Foundation school","4","Local authority maintained schools","1","Open","00","Not applicable","","00","Not applicable","","2","Primary",4,11,"1","No boarders","No Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",315,"2","No Special Classes","20-01-2022","314","151","163","7.00","1","Supported by a trust","1962","Aireborough Learning Partnership","Not applicable","","Not under a federation","","",10073039,"","Not applicable","04-12-2018","0","Not applicable","28-04-2023","New Road Side","Rawdon","","Leeds","West Yorkshire","LS19 6DD","www.rawdonlittlemoor.org","01138879690","Mrs","Julie","Beardwell","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011395","Guiseley & Rawdon","E14000886","Pudsey","A1","(England/Wales) Urban major conurbation","E08000035",420557,439957,"Leeds 014","Leeds 014B","","","","","","999","","","Good","Lancashire and West Yorkshire","","72578874","","0","Not applicable","0","Not applicable","","","E02002343","E01011278","22",""
107811,"383","Leeds","2272","Yeadon South View Junior School","01","Community school","4","Local authority maintained schools","2","Closed","00","Not applicable","","01","Result of Amalgamation/Merger","31-08-2004","2","Primary",7,11,"1","No boarders","Not applicable","0","Not applicable","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",248,"2","No Special Classes","","","","","","0","Not applicable","","","Not applicable","","Not under a federation","","","","","Not applicable","","0","Not applicable","29-11-2019","Rufford Avenue","Yeadon","","Leeds","West Yorkshire","LS19 7QR","","","Mrs","A A","Anslow","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011549","Otley & Yeadon","E14000780","Leeds North West","A1","(England/Wales) Urban major conurbation","E08000035",420868,440926,"Leeds 011","Leeds 011C","","","","","","999","","","","Lancashire and West Yorkshire","","72540079","","0","Not applicable","0","Not applicable","","","E02002340","E01011276","",""
107812,"383","Leeds","2273","Yeadon South View Infant School","01","Community school","4","Local authority maintained schools","2","Closed","00","Not applicable","","01","Result of Amalgamation/Merger","31-08-2004","2","Primary",5,7,"1","No boarders","Not applicable","0","Not applicable","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",150,"2","No Special Classes","","","","","","0","Not applicable","","","Not applicable","","Not under a federation","","","","","Not applicable","","0","Not applicable","29-11-2019","Rufford Avenue","Yeadon","","Leeds","West Yorkshire","LS19 7QR","","","Mrs","F","Lambley","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011549","Otley & Yeadon","E14000780","Leeds North West","A1","(England/Wales) Urban major conurbation","E08000035",420868,440926,"Leeds 011","Leeds 011C","","","","","","999","","","","Lancashire and West Yorkshire","","72540079","","0","Not applicable","0","Not applicable","","","E02002340","E01011276","",""
107813,"383","Leeds","2275","Scholes (Elmet) Primary School","01","Community school","4","Local authority maintained schools","1","Open","00","Not applicable","","00","Not applicable","","2","Primary",3,11,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",280,"2","No Special Classes","20-01-2022","340","182","158","9.80","0","Not applicable","","","Not applicable","","Supported by a federation","16208","Sphere Federation",10075615,"","Not applicable","09-05-2019","0","Not applicable","12-06-2023","Station Road","Scholes","","Leeds","West Yorkshire","LS15 4BJ","www.scholeselmet.leeds.sch.uk","01132649149","Mr","David","Roundtree","Head of Federation","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011396","Harewood","E14000689","Elmet and Rothwell","D1","(England/Wales) Rural town and fringe","E08000035",437584,436788,"Leeds 022","Leeds 022D","","","","","","999","","","Good","Lancashire and West Yorkshire","","72321609","","0","Not applicable","0","Not applicable","","","E02002351","E01011719","32",""
107814,"383","Leeds","2277","Garforth Barley Hill Infant School","01","Community school","4","Local authority maintained schools","2","Closed","00","Not applicable","","01","Result of Amalgamation/Merger","31-08-2004","2","Primary",3,7,"1","No boarders","Has Nursery Classes","0","Not applicable","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",147,"2","No Special Classes","","","","","","0","Not applicable","","","Not applicable","","Not under a federation","","","","","Not applicable","","0","Not applicable","29-11-2019","Barley Road","Garforth","","Leeds","West Yorkshire","LS25 1DX","","","Mrs","G","Austerfield","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011393","Garforth & Swillington","E14000689","Elmet and Rothwell","C1","(England/Wales) Urban city and town","E08000035",440173,433057,"Leeds 074","Leeds 074A","","","","","","999","","","","Lancashire and West Yorkshire","","72317919","","0","Not applicable","0","Not applicable","","","E02002403","E01011396","",""
107815,"383","Leeds","2281","Kippax Infant School","01","Community school","4","Local authority maintained schools","2","Closed","00","Not applicable","","00","Not applicable","01-09-1998","2","Primary",3,7,"1","No boarders","Has Nursery Classes","0","Not applicable","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable","","2","No Special Classes","","","","","","0","Not applicable","","","Not applicable","","Not under a federation","","","","","Not applicable","","0","Not applicable","29-11-2019","Leeds Road","Kippax","","Leeds","West Yorkshire","LS25 7HX","","","","","","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","D","Yorkshire and the Humber","E08000035","Leeds","E05011401","Kippax & Methley","E14000689","Elmet and Rothwell","C1","(England/Wales) Urban city and town","E08000035",440849,430761,"Leeds 089","Leeds 089E","","","","","","999","","","","Lancashire and West Yorkshire","","","","0","Not applicable","0","Not applicable","","","E02002418","E01011306","",""
