,,, Allocation for Reception and Junior School places for Community and Voluntary Controlled Schools ,,,,,,,,,,,,,,,,,,,,,,,
School Code,Phase,Type,School,AddressLine1,AddressLine2,AddressLine3,PostCode,X_REF,Y_REF,Telephone,Email,Website,Area,AgeRange Minimum,AgeRange Maximum,Reception  Furthest Distance in miles,Last Criteria Admitted,EHCP/ Other,Priority 1   ,Priority 2  ,Priority 3  ,Priority 4  ,Priority 5 ,Published Admission Number,Places Allocated,
3030,Primary,Voluntary Controlled,Aberford Church of England Voluntary Controlled Primary School,School Lane,Aberford,Leeds,LS25 3BU,443232,437054,0113 281 3302,office@aberfordceprimary.org.uk,http://www.aberford.leeds.sch.uk,E,4,11,2.356,5,0,0,0,5,6,1,14,12,
2416,Primary,Community,Adel Primary School,Tile Lane,Adel,Leeds,LS16 8DY,428005,439325,0113 230 1116,r.spinks@adelprimary.org.uk,http://www.adelprimary.org.uk,NW,3,11,0.649,4,0,0,0,14,16,0,30,30,
3902,Primary,Voluntary Aided,Adel St John The Baptist Church of England Primary School,Long Causeway,Adel,Leeds,LS16 8EX,427666,439696,0113 214 1040,info@adel-st-john.leeds.sch.uk,http://www.adel-st-john.leeds.sch.uk,NW,4,11,,,,,,,,,,,
2034,Primary,Academy,Alder Tree Primary Academy ,Potternewton Mount,,Leeds,LS7 2DR,429766,436461.3,0113 262 0021,office@mfprimary.com,http://www.mfprimary.com/,NE,3,11,,,,,,,,,,,
3909,Primary,Voluntary Aided,All Saints Richmond Hill C Of E Primary School,Cross Aysgarth Mount,,Leeds,LS9 9AD,431762,433529,0113 214 3056,Headteacher@allsaints-pri.leeds.sch.uk ,http://www.allsaints-pri.leeds.sch.uk,E,3,11,,,,,,,,,,,
2507,Primary,Foundation,Allerton Bywater Primary School,Leeds Road,Allerton Bywater,Castleford,WF10 2DR,441632,428057,0113 336 8240,office@allertonbywater.leeds.sch.uk,http://www.allertonbywater.leeds.sch.uk,E,3,11,,,,,,,,,,,
3931,Primary,Voluntary Controlled,Allerton Church Of England Primary School,Lingfield Approach,,Leeds,LS17 7HL,429837,439357.2,0113 293 0699,denise.glazer@allertonceprimary.com,http://allertonceprimary.com,NE,3,11,3.227,5,1,1,0,29,13,17,90,61,
2436,Primary,Community,Alwoodley Primary School,Cranmer Rise,,Leeds,LS17 5HX,429305,439464,0113 268 6104,jane.langley@alwoodley.net,http://www.alwoodleyprimary.net/,NE,3,11,316.097,5,0,1,0,21,18,14,60,54,
2032,Primary,Academy,Armley Park Primary School,Salisbury Terrace,,Leeds,LS12 2AY,427144,433927,0113 263 9216,cooper.jennifer@armleyprimary.org.uk,http://www.armley-pri.leeds.sch.uk,W,3,11,,,,,,,,,,,
2401,Primary,Academy,Ashfield Primary School,Weston Lane,Otley,Leeds,LS21 2DF,419272,446259,0194 346 3341,info@ashfieldprimary.co.uk ,http://www.ashfieldprimary.co.uk,NW,3,11,,,,,,,,,,,
2512,Primary,Community,Asquith Primary School,Horsfall Street,Morley,Leeds,LS27 9QY,425775,428846,0113 307 5550,hayley.walton@asquithprimary.org,http://www.asquithprimary.leeds.sch.uk/,S,3,11,3.812,5,0,2,0,16,1,8,60,30,
2463,Primary,Academy,Austhorpe Primary School,Austhorpe Lane,,Leeds,LS15 8TP,437213,433658,0113 264 0450,office@austhorpeprimary.org,http://www.austhorpe.leeds.sch.uk/,E,4,11,,,,,,,,,,,
2425,Primary,Foundation ,Bankside Primary School,Shepherd Lane,,Leeds,LS8 5AW,431551,435482,0113 336 8383,school.office@banksideprimary.org,http://banksideprimary.org/,NE,3,11,,,,,,,,,,,
2385,Primary,Foundation,Bardsey Primary School,Woodacre Lane,Bardsey,Leeds,LS17 9DG,436392,443452,0193 757 2612,office@bardseyprimary.org.uk,http://www.bardseyprimary.org.uk/,NE,4,11,,,,,,,,,,,
3033,Primary,Voluntary Controlled,Barwick-in-Elmet Church of England Voluntary Controlled Primary School,Chapel Lane,Bawick-in-Elmet,Leeds,LS15 4HL,440257,437237,0113 281 2132,office@barwick-in-elmet.leeds.sch.uk,http://www.barwick-in-elmetschool.com,N,3,11,8.104,5,0,1,0,8,11,4,30,24,
2444,Primary,Foundation,Beechwood Primary School,Kentmere Avenue,,Leeds,LS14 6QB,435141,435924,0113 293 0250,office@beechwoodprimaryschool.co.uk,http://www.beechwoodprimaryschool.co.uk/,E,3,11,,,,,,,,,,,
2407,Primary,Community,Beecroft Primary School,Eden Way,,Leeds,LS4 2TF,426699,435205,0113 214 4562,info@beecroft.leeds.sch.uk,http://www.beecroft.leeds.sch.uk/,NW,3,11,0.295,4,0,0,0,26,19,0,45,45,
3913,Primary,Voluntary Aided,Beeston Hill St Luke's Church of England Primary School,Beeston Road,,Leeds,LS11 8ND,429554,431876,0113 214 5217,hayley.chalders@bsl.leeds.sch.uk,http://www.bsl.sch.uk,S,3,11,,,,,,,,,,,
2470,Primary,Foundation,Beeston Primary School,Town Street,,Leeds,LS11 8PN,428228,430736,0113 271 6978,office@beestonprimary.org,http://www.beestonprimaryschool.co.uk,S,3,11,,,,,,,,,,,
