SchoolCode,Phase,Type,School,AddressLine1,AddressLine2,AddressLine3,PostCode,X_REF,Y_REF,Telephone,Email,Website,Area,AgeRangeMinimum,AgeRangeMaximum,Catchment,Non-catchment,EHCP,Priority 1   ,Priority 2  ,Priority 3  ,Priority 4  ,Priority 5,Total Allocated / Places Available,Published Admission Number ,,
5400,Secondary,Academy,Abbey Grange Church of England Academy,Butcher Hill,,Leeds,LS16 5EA,425647,437660,0113 275 7877,info@abbeygrangeacademy.co.uk,http://www.abbeygrangeschool.co.uk,NW,11,18,,,,,,,,,,,,
4040,Secondary,Community,Allerton Grange School,Talbot Avenue,,Leeds,LS17 6SF,431591,438408,0113 3930304,agadmin@allertongrange.com,http://www.allertongrange.com,NE,11,18,,1.651,2,1,1,128,133,35,300,300,,
4032,Secondary,Community,Allerton High Business and Enterprise Specialist School,King Lane,,Leeds,LS17 7AG,429500,439471,0113 203 4770,info@allertonhigh.org.uk,http://www.allertonhigh.org.uk,NE,11,18,,0.983,5,4,0,110,138,23,280,280,,
4106,Secondary,Community,Benton Park School,Harrogate Road,Rawdon,Leeds,LS19 6LX,420896,440158,0113 250 2330,secretary@bentonpark.net,http://www.bentonpark.org.uk,NW,11,18,,3.478,0,2,0,81,77,140,300,300,,
4076,Secondary,Academy,Bishop Young Church of England Academy,Bishops Way,Seacroft,Leeds,LS14 6NU,434527,436067,0113 273 9100,info@bishopyoungacademy.co.uk,http://www.bishopyoungacademy.co.uk,E,11,16,,,,,,,,,,,,
4114,Secondary,Foundation,Boston Spa School,Clifford Moor Road,Boston Spa,Wetherby,LS23 6RW,442024,445068,0193 784 6636,info@bostonspa.leeds.sch.uk,http://www.bostonspa.leeds.sch.uk/,NE,11,18,,,,,,,,,,,,
4113,Secondary,Foundation,Brigshaw High School and Language College,Brigshaw Lane,Allerton Bywater,Castleford,WF10 2HR,440903,429146,0113 287 8900,office@brigshaw.com,http://www.brigshaw.com,E,11,18,,,,,,,,,,,,
4071,Secondary,Academy,Bruntcliffe Academy,Bruntcliffe Lane,Morley,Leeds,LS27 0LZ,425212,427723,0113 252 3225,info@bruntcliffe.net,http://www.bruntcliffe.net,S,11,18,,,,,,,,,,,,
4751,Secondary,Voluntary Aided,Cardinal Heenan Catholic High School,Tongue Lane,,Leeds,LS6 4QE,429035,438145,0113 887 3240,info@cardinalheenan.com,http://www.cardinalheenan.com,NE,11,16,,,,,,,,,,,,
4041,Through School,Foundation,Carr Manor Community School,Carr Manor Road,, Leeds ,LS17 5DJ,4294250,4375420,0113 336 8400,info@carrmanor.org.uk,www.carrmanor.org.uk,NE,4,18,,,,,,,,,,,,
4077,Secondary,Academy,Cockburn John Charles Academy ,Old Run Road,,Leeds,LS10 2JU,430564,430023,0113 212 7147,info@cockburnjohncharles.org,http://www.tsla.org.uk,S,11,18,,,,,,,,,,,,
4081,SecondaryAca,Academy,Cockburn Laurence Calvert Academy,2 St Georges Road,Middleton,Leeds,LS10 4UZ,430955,428044,0113 4872837,,https://www.cockburnlca.org,S,11,16,,,,,,,,,,,,
4047,Secondary,Academy,Cockburn School,Parkside,Gipsy Lane,Leeds,LS11 5TT,429194,429451,0113 271 9962,info@cockburnschool.org,http://www.cockburnschool.org/,S,11,16,,,,,,,,,,,,
4065,Secondary,Academy,Co-operative Academy of Leeds,Stoney Rock Lane,,Leeds,LS9 7HD,431563,434080,0113 380 7940,info@cal.coop,http://www.cal.coop,E,11,18,,,,,,,,,,,,
4110,Secondary,Academy,Co-op Academy Priesthorpe ,Priesthorpe Lane,Farsley,Leeds,LS28 5SG,420638,434897,0113 257 4115,info@priesthorpe.org,http://www.priesthorpe.org,W,11,18,,,,,,,,,,,,
4752,Secondary,Voluntary Aided,Corpus Christi Catholic College,Neville Road,,Leeds,LS9 0TT,434033,433556,0113 200 9010,info@corpusleeds.org,www.corpusleeds.org,E,11,16,,,,,,,,,,,,
4107,Secondary,Academy,Crawshaw Academy,Robin Lane,Pudsey,Leeds,LS28 9HU,422722,432964,0113 336 8540,info@crawshawacademy.org.uk,http://www.crawshawacademy.org.uk,W,11,18,,,,,,,,,,,,
4075,Through School,Academy,Dixons Trinity Chapeltown(Secondary Campus) ,Barrack Road,,Leeds,LS7 3BQ,430914,434995,0113 468 5100,info@dixonstc.com,www.dixonstc.com,E,4,16,,,,,,,,,,,,
4078,Secondary,Academy,Dixons Unity Academy ,Whingate Road,,Leeds,LS12 3DS,425948,433283,0113 263 0110,contactus@swallowhill.org,www.swallowhill.org,W,11,16,,,,,,,,,,,,
4112,Secondary,Academy,Garforth Academy,Lidgett Lane,Garforth,Leeds,LS25 1LJ,440183,432482,0113 212 7127,info@garforthacademy.org.uk,http://www.garforthacademy.org.uk,E,11,18,,,,,,,,,,,,
4108,Secondary,Foundation,Guiseley School,Fieldhead Road,Guiseley,Leeds,LS20 8DT,418677,441738,0194 387 2315,info@guiseleyschool.org.uk,http://www.guiseleyschool.org.uk,NW,11,18,,,,,,,,,,,,
4115,Secondary,Academy,Horsforth School,Lee Lane East,Horsforth,Leeds,LS18 5RF,423723,438495,0113 226 5454,info@horsforthschool.org,http://www.horsforthschool.org,NW,11,18,,,,,,,,,,,,
4082,Secondary,Academy,John Smeaton Academy,Smeaton Approach,Barwick Road,Leeds,LS15 8TA,437308,435598,0113 831 3900,enquiries@johnsmeatonacademy.org.uk,http://www.johnsmeatonacademy.org.uk,E,11,18,,,,,,,,,,,,
4006,Secondary,Community,Lawnswood School,Ring Road,West Park ,Leeds,LS16 5AG,426728,437859,0113 284 4020,school@lawnswoodschool.co.uk,http://www.lawnswoodschool.co.uk,NW,11,18,,314.326,1,0,0,71,54,79,268,270,,
