school_name,count_of_engagements,ward_name,ward_code
St Philip's Catholic Primary  School,4,Middleton Park,E05011404
The Ruth Gorse Academy,3,Hunslet and Riverside,E05011399
Stanningley Primary School,3,Bramley and Stanningley,E05011387
Allerton High School,3,Moortown,E05011405
Meadowfield Primary School,3,Temple Newsam,E05013831
Drighlington Primary School,3,Morley North,E05011406
"Holy Rosary and St Anne's Catholic Primary School, a Voluntary Academy",3,Chapel Allerton,E05011390
Ralph Thoresby School,3,Adel and Wharfedale,E05012841
Manston Primary,3,Cross Gates and Whinmoor,E05011391
Shire Oak VC Primary School,3,Headingley and Hyde Park,E05011397
Home learners,3,,
Cottingley Primary Academy,3,Beeston and Holbeck,E05012647
Cross Gates Primary School,3,Cross Gates and Whinmoor,E05011391
Allerton CofE Primary School,3,Alwoodley,E05012842
Farsley Springbank Primary School,3,Calverley and Farsley,E05011389
East SILC Jack Clark,3,Gipton and Harehills,E05011394
Robin Hood Primary School,3,Ardsley and Robin Hood,E05011384
Whingate Primary School,3,Wetherby,E05011414
Alwoodley Primary School,3,Alwoodley,E05012842
Greenhill Primary School,3,Farnley and Wortley,E05012648
Ingram Road Primary School,3,Beeston and Holbeck,E05012647
"St Joseph's Catholic Primary School, Wetherby",3,Wetherby,E05011414
Gildersome Primary School,3,Morley North,E05011406
Seacroft Grange Primary School,3,Killingbeck and Seacroft,E05011400
Leeds City Academy,3,Headingley and Hyde Park,E05011397
Harewood Church of England Voluntary Controlled Primary School,3,Harewood,E05011396
"St Peter's Church of England Primary School, Leeds",2,Burmantofts and Richmond Hill,E05011388
St Mary's Menston Catholic Voluntary Academy,2,Guiseley and Rawdon,E05011395
"Corpus Christi Catholic College, A Voluntary Academy",2,Temple Newsam,E05013831
Hugh Gaitskell Primary School,2,Beeston and Holbeck,E05012647
Castleton Primary School,2,Armley,E05011385
Leeds Teaching Hospitals,2,Little London and Woodhouse,E05011403
Kirkstall St Stephen's Church of England (VA) Primary School,2,Kirkstall,E05011402
Whitkirk Primary School,2,Bramley and Stanningley,E05011387
Horsforth Newlaithes Primary School,2,Horsforth,E05011547
Lighthouse School Leeds,2,Weetwood,E05011413
Roundhay St John's Church of England Primary School,2,Roundhay,E05011411
Hunslet Carr Primary School,2,Hunslet and Riverside,E05011399
Southroyd Primary and Nursery School,2,Pudsey,E05011409
St Matthew's Church of England Aided Primary School,2,Chapel Allerton,E05011390
"Holy Trinity Church of England Academy, Rothwell",2,Rothwell,E05011410
Primley Wood Primary School,2,Alwoodley,E05012842
Gledhow Primary School,2,Roundhay,E05011411
St Benedict's Catholic Primary School,2,Garforth and Swillington,E05013830
Cockburn Laurence Calvert Academy,2,Middleton Park,E05011404
Our Lady of Good Counsel Catholic Primary School,2,Killingbeck and Seacroft,E05011400
Rothwell St Mary's RC Primary School,2,Rothwell,E05011410
West SILC,2,Bramley and Stanningley,E05011387
Valley View Community Primary School,2,Bramley and Stanningley,E05011387
Ireland Wood Primary School,2,Weetwood,E05011413
Moortown Primary School,2,Moortown,E05011405
Armley Park Primary School,2,Armley,E05011385
Dixons Trinity Chapeltown,2,Chapel Allerton,E05011390
Pudsey Lowtown Primary School,2,Pudsey,E05011409
Temple Moor High School,2,Temple Newsam,E05013831
Pudsey Waterloo Primary,2,Pudsey,E05011409
Primrose Lane Primary School,2,Wetherby,E05011414
Cardinal Heenan Catholic High School,2,Moortown,E05011405
Blackgates Primary Academy,2,Morley South,E05011407
Oulton Academy ,2,Otley and Yeadon,E05011549
Meanwood Church of England Primary School,2,Moortown,E05011405
Elements Primary School,2,Middleton Park,E05011404
Aberford Church of England Voluntary Controlled Primary School,2,Harewood,E05011396
Iveson Primary School,2,Weetwood,E05011413
Holy Name Catholic Voluntary Academy,2,Weetwood,E05011413
Summerfield Primary School,2,Bramley and Stanningley,E05011387
Queensway Primary School,1,Guiseley and Rawdon,E05011395
Kettlethorpe High School,1,,
Crossley Street Primary School,1,Wetherby,E05011414
Rufford Park Primary School,1,Otley and Yeadon,E05011549
Blenheim Primary School,1,Little London and Woodhouse,E05011403
Fountain Primary School,1,Morley South,E05011407
Hymers Junior School,1,,
St Nicholas Catholic Primary School,1,Gipton and Harehills,E05011394
Queenswood Education Centre,1,Kirkstall,E05011402
West Oaks School,1,Little London and Woodhouse,E05011403
Beeston Hill St Luke's Church of England Primary School,1,Beeston and Holbeck,E05012647
Bramley Park Academy,1,Bramley and Stanningley,E05011387
St Chad's Church of England Primary School,1,Weetwood,E05011413
Shadwell Primary School,1,Moortown,E05011405
Westbrook Lane Primary School,1,Pudsey,E05011409
Park Spring Primary School,1,Pudsey,E05011409
"Sacred Heart Catholic Primary School, a Voluntary Academy",1,Kirkstall,E05011402
Brigshaw High School,1,Kippax and Methley,E05011401
Quarry Mount Primary School,1,Headingley and Hyde Park,E05011397
"St Joseph's Catholic Primary School, Hunslet",1,Hunslet and Riverside,E05011399
The Richmond Hill Academy,1,Burmantofts and Richmond Hill,E05011388
Pudsey Grammar School,1,Pudsey,E05011409
Talbot Primary School,1,Roundhay,E05011411
East Morton CE Primary,1,,
Poplars Farm Primary,1,,
Kippax Ash Tree Primary School,1,Kippax and Methley,E05011401
"St Joseph's Catholic Primary School, Bradford",1,,
Cookridge Holy Trinity Church of England Primary School,1,Adel and Wharfedale,E05012841
Trinity Academy Halifax,1,,
Trinity Academy Cathedral,1,,
Yeadon Westfield Infant School,1,Guiseley and Rawdon,E05011395
Wetherby High School,1,Wetherby,E05011414
East Ardsley Primary Academy,1,Ardsley and Robin Hood,E05011384
Barwick-in-Elmet Church of England Voluntary Controlled Primary School,1,Harewood,E05011396
St Mary's Church of England Controlled Primary School Boston Spa,1,Wetherby,E05011414
Co-op Academy Leeds,1,Burmantofts and Richmond Hill,E05011388
St Oswald's C of E Primary School,1,Guiseley and Rawdon,E05011395
Ilkley Grammar,1,,
Wykebeck Primary School,1,Gipton and Harehills,E05011394
Austhorpe Primary School,1,Temple Newsam,E05013831
The Grammar School At Leeds,1,Alwoodley,E05012842
Westerton Primary Academy,1,Horsforth,E05011547
Gustav Adolf Grammas School at Talinn,1,,
Hill Top Primary Academy,1,Morley South,E05011407
Hanson Academy,1,,
Christ Church Upper Armley Church of England Primary School,1,Armley,E05011385
Stepping Stones Nursery,1,Roundhay,E05011411
Farsley Farfield Primary School,1,Calverley and Farsley,E05011389
Swillington Primary School,1,Garforth and Swillington,E05013830
Corpus Christi Catholic Primary School,1,Temple Newsam,E05013831
Victoria Primary Academy,1,Burmantofts and Richmond Hill,E05011388
Horsforth School,1,Horsforth,E05011547
Allerton Grange School,1,Moortown,E05011405
Guiseley School,1,Guiseley and Rawdon,E05011395
Benton Park School,1,Guiseley and Rawdon,E05011395
New Horizons Community School,1,Chapel Allerton,E05011390
Penny Field School,1,Moortown,E05011405
Broadgate Primary School,1,Horsforth,E05011547
Co-op Academy Brownhill,1,Burmantofts and Richmond Hill,E05011388
Co-op Beckfield,1,,
Lady Lane Park,1,,
Alder Tree Primary Academy,1,Chapel Allerton,E05011390
Calverley Parkside Primary School,1,Calverley and Farsley,E05011389
Bramhope Primary School,1,Adel and Wharfedale,E05012841
Adel St John the Baptist Church of England Primary School,1,Adel and Wharfedale,E05012841
Mount St Mary's Catholic High School,1,Burmantofts and Richmond Hill,E05011388
Roundhay School,1,Roundhay,E05011411
Brudenell Primary School,1,Headingley and Hyde Park,E05011397
Leeds East Academy,1,Killingbeck and Seacroft,E05011400
Al Kauthar Girls Academy,1,Chapel Allerton,E05011390
Leeds West Academy,1,Bramley and Stanningley,E05011387
Dixons Unity Academy,1,Armley,E05011385
The Morley Academy,1,Morley South,E05011407
Weetwood Primary School,1,Weetwood,E05011413
Crawshaw Academy,1,Pudsey,E05011409
Hunslet Moor Primary School,1,Hunslet and Riverside,E05011399
Springwell Leeds Academy,1,Middleton Park,E05011404
St. Oswald's CofE Primary School,1,Guiseley and Rawdon,E05011395
Ebor Gardens Primary Academy,1,Burmantofts and Richmond Hill,E05011388
Bracken Edge Primary School,1,Chapel Allerton,E05011390
Shakespeare Primary School,1,Burmantofts and Richmond Hill,E05011388
Rawdon St Peter's Church of England Voluntary Controlled Primary School,1,Guiseley and Rawdon,E05011395
"Christ The King Catholic Primary School, A Voluntary Academy",1,Bramley and Stanningley,E05011387
Grimes Dyke Primary School,1,Cross Gates and Whinmoor,E05011391
Thorpe Primary School,1,Ardsley and Robin Hood,E05011384
North Halifax Grammar School,1,,
Ashfield Primary School,1,Otley and Yeadon,E05011549
Hawksworth Church of England Primary School,1,Guiseley and Rawdon,E05011395
Holy Family Catholic Primary School,1,Armley,E05011385
Micklefield Church of England Primary Academy,1,Kippax and Methley,E05011401
"St Paul's Catholic Primary School, a Voluntary Academy",1,Alwoodley,E05012842
Five Lanes Primary School,1,Farnley and Wortley,E05012648
Morley Newlands Academy,1,Morley South,E05011407
Ninelands Primary School,1,Garforth and Swillington,E05013830
West End Primary School,1,Horsforth,E05011547
Tranmere Park Primary School,1,Guiseley and Rawdon,E05011395
Whitecote Primary School,1,Cross Gates and Whinmoor,E05011391
Swarcliffe Primary School,1,Cross Gates and Whinmoor,E05011391
Fieldhead Carr Primary School,1,Cross Gates and Whinmoor,E05011391
Otley Prince Henry's Grammar School Specialist Language College,1,Otley and Yeadon,E05011549
Thornhill Community Academy,1,,
Sharp Lane Primary School,1,Middleton Park,E05011404
Netherhall Learning Campus,1,,
Todmorden High School,1,,
Tong Leadership Academy,1,,
Royds Hall,1,,
The Halifax Academy,1,,
IQRA Academy Primary,1,,
Lane End Primary School,1,Beeston and Holbeck,E05012647
Co-op Academy Woodlands,1,Gipton and Harehills,E05011394
Spring Bank Primary School,1,Headingley and Hyde Park,E05011397
Co-op Academy Beckfield,1,Pudsey,E05011409
Pudsey Bolton Royd Primary School,1,Pudsey,E05011409
Kerr Mackie Primary School,1,Roundhay,E05011411
Kirkstall Valley Primary School,1,Kirkstall,E05011402
Rothwell Victoria Junior School,1,Rothwell,E05011410
"St John's Catholic Specialist School, Boston Spa",1,Wetherby,E05011414
