URN,Name,Latitude,Longitude,type,phase_type_grouping,total_FT,total_PT,total_pupils,artsmark_progress,most_recent_award,artsaward,StatutoryLowAge,StatutoryHighAge
137083,Abbey Grange Church of England Academy,53.83396,-1.60843,Academy & Free Schools,State-funded secondary,1659,0,1659,?,,NO,11,18
107985,Aberford Church of England Voluntary Controlled Primary School,53.82797,-1.34461,Voluntary,State-funded primary,107,0,107,Working towards,Silver,NO,4,11
107892,Adel Primary School,53.84942,-1.57610,Community,State-funded primary,233,1,234,?,,NO,3,11
108041,Adel St John the Baptist Church of England Primary School,53.85283,-1.58089,Voluntary,State-funded primary,207,0,207,?,,NO,4,11
147945,Alder Tree Primary Academy,53.82363,-1.54955,Academy & Free Schools,State-funded primary,296,21,317,?,,NO,3,11
108048,All Saint's Richmond Hill Church of England Primary School,53.79716,-1.51924,Voluntary,State-funded primary,220,33,253,?,,NO,3,11
143242,Allerton Bywater Primary School,53.74682,-1.36999,Academy & Free Schools,State-funded primary,397,32,429,?,,NO,3,11
135210,Allerton Church Of England Primary School,53.84961,-1.54795,Voluntary,State-funded primary,649,54,703,Awarded,Platinum,NO,2,11
108058,Allerton Grange School,53.84096,-1.52408,Community,State-funded secondary,1711,0,1711,?,,NO,11,18
108057,Allerton High Business and Enterprise Specialist School,53.85036,-1.55167,Community,State-funded secondary,1600,0,1600,?,,YES,11,18
107912,Alwoodley Primary School,53.85064,-1.55591,Community,State-funded primary,441,43,484,Registered,Gold,NO,3,11
149399,Armley Grange School,53.80087,-1.61007,Independent,Independent school,1,0,1,?,,YES,5,19
147632,Armley Park Primary School,53.80096,-1.58936,Academy & Free Schools,State-funded primary,181,27,208,?,,NO,3,11
107877,Ashfield Primary School,53.91216,-1.70806,Community,State-funded primary,215,16,231,?,,NO,3,11
132795,Asquith Primary School,53.75541,-1.61052,Community,State-funded primary,436,0,436,?,,NO,3,11
146213,Austhorpe Primary School,53.79799,-1.43704,Academy & Free Schools,State-funded primary,212,0,212,Awarded,Silver,NO,4,11
107901,Bankside Primary School,53.81471,-1.52220,Foundation,State-funded primary,617,72,689,?,,NO,2,11
107868,Bardsey Primary School,53.88697,-1.44817,Foundation,State-funded primary,192,0,192,?,,NO,5,11
107987,Barwick-in-Elmet Church of England Voluntary Controlled Primary School,53.83005,-1.39033,Voluntary,State-funded primary,198,23,221,?,,NO,3,11
107920,Beechwood Primary School,53.81859,-1.46764,Foundation,State-funded primary,462,11,473,Awarded,Silver,NO,3,11
107883,Beecroft Primary School,53.81264,-1.59529,Community,State-funded primary,321,8,329,Awarded,Silver,NO,3,11
108052,Beeston Hill St Luke's Church of England Primary School,53.78099,-1.55310,Voluntary,State-funded primary,406,60,466,?,,NO,3,11
107946,Beeston Primary School,53.77232,-1.57291,Foundation,State-funded primary,630,47,677,?,,NO,3,11
108083,Benton Park School,53.85714,-1.68347,Community,State-funded secondary,1544,0,1544,?,,NO,11,18
107863,Birchfield Primary School,53.75575,-1.63565,Community,State-funded primary,218,20,238,?,,NO,3,11
144809,Bishop Young Church of England Academy,53.82019,-1.47656,Academy & Free Schools,State-funded secondary,744,0,744,?,,NO,11,16
146102,Blackgates Primary Academy,53.72842,-1.56450,Academy & Free Schools,State-funded primary,274,25,299,?,,NO,2,11
107884,Blenheim Primary School,53.80699,-1.54730,Foundation,State-funded primary,451,23,474,?,,NO,3,11
146217,Boston Spa Academy,53.90042,-1.36197,Academy & Free Schools,State-funded secondary,1362,0,1362,?,,NO,11,18
107909,Bracken Edge Primary School,53.82054,-1.52677,Community,State-funded primary,415,4,419,?,,NO,3,11
107844,Bramham Primary School,53.88702,-1.35230,Community,State-funded primary,193,0,193,?,,NO,5,11
147554,Bramhope Primary School,53.88225,-1.61551,Academy & Free Schools,State-funded primary,368,0,368,?,,NO,4,11
146542,Bramley Park Academy,53.81040,-1.64251,Academy & Free Schools,State-funded primary,263,9,272,?,,NO,3,11
108003,Bramley St Peter's Church of England Primary School,53.81002,-1.63009,Voluntary,State-funded primary,384,15,399,?,,NO,3,11
143238,Brigshaw High School and Language College,53.75658,-1.38216,Academy & Free Schools,State-funded secondary,1406,0,1406,?,,NO,11,18
107874,Broadgate Primary School,53.84073,-1.63326,Community,State-funded primary,455,0,455,?,,NO,3,11
108054,Brodetsky Primary School,53.85409,-1.54267,Voluntary,State-funded primary,222,28,250,?,,NO,2,11
108123,Broomfield South SILC,53.75657,-1.52292,Special School,State-funded special school,224,0,224,?,,NO,2,19
107885,Brudenell Primary School,53.81383,-1.57138,Foundation,State-funded primary,265,0,265,?,,NO,3,11
142056,Bruntcliffe Academy,53.74560,-1.62020,Academy & Free Schools,State-funded secondary,1273,0,1273,?,,NO,11,16
108001,Burley St Matthias Church of England Voluntary Controlled Primary School,53.80799,-1.58127,Voluntary,State-funded primary,188,0,188,?,,NO,5,11
107996,Calverley Church of England Voluntary Aided Primary School,53.83078,-1.68547,Voluntary,State-funded primary,417,0,417,?,,NO,4,11
