URN,Name,Engagement,Address,Postcode,Latitude,Longitude,Funding,Type of organisation,Website
10000,Abbey House Museum,Provider,"Abbey Walk, Kirkstall",LS5 3EH,53.82221,-1.60708,Leeds City Council,,https://museumsandgalleries.leeds.gov.uk/abbey-house-museum/
10001,Alive and Kicking Theatre Company,Provider,"3 Lady Wood Rd, Roundhay",LS8 2QF,53.82752,-1.50067,Neither,,https://aaktheatre.wordpress.com/
10002,Art School for Rebel Girls,Provider,"Pavilion, 42 New Briggate",LS1 6NU,53.79997,-1.54066,Neither,,https://pavilion.org.uk/art-school-for-rebel-girls/
10003,Artforms - Arts Development,"Provider, Network, CPD/Training","Pudsey Civic Hall, Dawson’s Corner",LS28 5TA,53.80738,-1.67876,Neither,,https://artformsleeds.co.uk/arts/
10004,Artforms - Music,"Provider, Network, CPD/Training, Information","c/o Adams Court, Kildare Terrace",LS12 1DB,53.79008,-1.56909,Neither,,https://artformsleeds.co.uk/music/
10005,Artis Foundation,"CPD/Training, Provider","311 Union Wharf, 23 Wenlock Road",N1 7ST,51.53264,-0.09532,Neither,,https://www.artisfoundation.org.uk/
10006,Artlink West Yorkshire,Unknown,191 Belle Vue Road,LS3 1HG,53.80641,-1.56476,Leeds City Council,,https://artlinkwestyorks.org/
10007,Assembly House,Unknown,"44 Canal Rd,",LS12 2PL,53.80072,-1.58248,Leeds City Council,,https://www.assemblyhouse.art/
10008,Back Chat Brass,Provider,"20 Abbeydale Oval, Hawksworth",LS5 3RF,53.82543,-1.61822,Neither,,https://backchatbrass.com/
10009,Balbir Singh Dance Company,Partner,"Yorkshire Dance, 3 St Peter’s Building",LS9 8AH,53.79711,-1.53323,Both,NPO,https://www.balbirsinghdance.co.uk/
10010,BookTrust,Partner,"No. 1 Aire Street, Leeds",LS1 4PR,53.79588,-1.54864,Leeds City Council,NPO,https://www.booktrust.org.uk/what-we-do/programmes-and-campaigns/bookbuzz/
10011,BoP DJ,Unknown,2 Church Walk,LS2 7EG,53.79586,-1.53621,Neither,,https://www.bopdj.com/
10012,CAPA College - Dance: Contemporary and Commercial course,Signpost,"CAPA College, Mulberry Way, Wakefield",WF1 2QN,53.68327,-1.50619,Neither,,https://www.capa.college/dance-contemporary-and-commercial/
10013,Carriageworks Theatre,Provider,"The Electric Press, 3 Millennium Square",LS2 3AD,53.80117,-1.54835,Arts Council England,,https://www.carriageworkstheatre.co.uk/
10014,Cartwright Hall Art Gallery,Provider,"Lister Park, Bradford",BD9 4NS,53.81218,-1.77161,Neither,,https://bradfordmuseums.org/cartwright-hall-art-gallery/
10015,Cause4,Unknown,"Keystone Innovation Centre, Croxton Road, Thetford",IP24 1JD,52.42062,0.74977,Leeds City Council,IPSO,https://www.cause4.co.uk/
10016,Centre for Live Art Yorkshire (Live Art Bistro),Unknown,"Regent Street, Leeds",LS2 7QA,53.80153,-1.53294,Arts Council England,,https://www.clayleeds.co.uk/
10017,Class Dynamix,Provider,"15 Emmeline Close, Bradford",BD10 9RF,53.83549,-1.72831,Neither,,https://classdynamix.com/about/
10018,Come Play With Me,Unknown,"Yorkshire Dance,3 St. Peter’s Square ",LS9 8AH,53.79711,-1.53323,Arts Council England,,https://team74461.wixsite.com/cpwmco
10019,Compass Live Art & Compass Festival,Unknown,"Yorkshire Dance,3 St. Peter’s Square ",LS9 8AH,53.79711,-1.53323,Arts Council England,,https://compassliveart.org.uk/
10020,Coram Shakespeare Schools Foundation,Provider,"Gregory House, Coram Campus, 41 Brunswick Square, London",WC1N 1AZ,51.52548,-0.12075,Neither,,https://www.shakespeareschools.org/
10021,Dance Action Zone Leeds,Provider,"Acre Rd, Middleton, Leeds",LS10 4LF,53.74391,-1.55035,Leeds City Council,,https://dazl.org.uk/
10022,Danceworks,Provider,Fir Tree Lane,LS17 7BZ,53.8493,-1.53559,Neither,,https://danceworksleeds.co.uk/
10023,Design & Technology Association,Network,"11 Manor Park, Banbury,",OX16 3TB,52.07244,-1.32601,Neither,,https://www.designtechnology.org.uk/?gclid=Cj0KCQjwzdOlBhCNARIsAPMwjbwOxFkdMUWSEMT0SzOVhsruel9Zism3RKprN0lgC_ockQAhkd8w1iMaAjJoEALw_wcB
10024,Diocese of Leeds,Unknown,"Hinsley Hall, 62 Headingley Lane, Leeds",LS6 2BX,53.81967,-1.57005,Neither,,https://www.dioceseofleedsmusic.org.uk
10025,East Leeds Project,Unknown,"Fearnville Leisure Centre, Oakwood Lane",LS8 3LF,53.81695,-1.49167,Both,,https://eastleedsproject.org/
10026,East Street Arts,Unknown,"St Mary's Ln, Leeds",LS9 7EH,53.79965,-1.52933,Both,NPO,https://eaststreetarts.org.uk/
10027,Eclipse Theatre Company Ltd,Unknown,"Mabgate Mills, Mill 2",LS9 7DZ,53.80237,-1.53031,Both,NPO,https://www.eclipsetheatre.org.uk/
10028,English National Opera,Provider,"London Coliseum, St Martin’s Lane, London",WC2N 4ES,51.50991,-0.12627,Neither,,https://www.eno.org/
10029,Flex Dance Company,Partner,"Bishop Young Church of England Academy, Bishops Wa",LS14 6NU,,,Neither,,https://www.flexdanceinc.co.uk/
10030,Geraldine Connor Foundation,Unknown,"Mill 2, 2nd Floor, Suite D, Mabgate Mills, Macaulay Street",LS9 7DZ,53.80237,-1.53031,Leeds City Council,,https://www.gcfoundation.co.uk/
10031,Getaway girls,Provider,"19 Brooklands Ave., Seacroft, Leeds",LS14 6SG,53.81589,-1.47791,Neither,,https://getawaygirls.co.uk/
10032,Harewood House,Unknown,"Harewood, Leeds",LS17 9LG,53.89688,-1.52727,Neither,,https://harewood.org/
10033,Heads Together: Chapel FM Arts Centre,Provider,"Old Seacroft Chapel, 1081 York Road",LS14 6JB,53.81745,-1.45866,Both,NPO,https://www.chapelfm.co.uk/
10034,Imagine if,Unknown,"Crown House, 94 Armley Rd, Armley",LS12 2EJ,53.79835,-1.57136,Leeds City Council,,https://imagineiftheatre.co.uk/
10035,Interplay Theatre,Unknown,"Armley Ridge Rd, Armley, Leeds",LS12 3LE,53.79888,-1.59738,Both,NPO,https://interplaytheatre.org.uk/
10036,Irish Arts Foundation,Provider,"Headingley Enterprise & Arts Centre, Bennett Road",LS6 4NS,53.83458,-1.56622,Both,,https://www.irisharts.org.uk/
10037,Jamaica Society Leeds: Out of Many Festival,Unknown,"Jamaica House, 277 Chapeltown Rd, Potternewton",LS7 3HA,53.81833,-1.5316,Arts Council England,,https://www.jamaicasocietyleeds.co.uk/
10038,JazzLeeds,Provider,"31A Harrogate Rd, Chapel Allerton",LS7 3PD,53.82807,-1.53771,Leeds City Council,,https://www.jazzleeds.org.uk/
