index,GEOGRAPHY,GEOGRAPHY_NAME,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,GEOGRAPHY_SORTORDER,PROJECTED_YEAR,PROJECTED_YEAR_NAME,PROJECTED_YEAR_CODE,PROJECTED_YEAR_TYPE,PROJECTED_YEAR_TYPECODE,PROJECTED_YEAR_SORTORDER,GENDER,GENDER_NAME,GENDER_CODE,GENDER_TYPE,GENDER_TYPECODE,GENDER_SORTORDER,C_AGE,C_AGE_NAME,C_AGE_CODE,C_AGE_TYPE,C_AGE_TYPECODE,C_AGE_SORTORDER,MEASURES,MEASURES_NAME,OBS_VALUE,OBS_STATUS,OBS_STATUS_NAME,OBS_CONF,OBS_CONF_NAME,URN,RECORD_OFFSET,RECORD_COUNT
0,1820328007,Leeds,E08000035,local authorities: district / unitary (as of April 2019),434,0,2018,2018,2018,Projected Year,1000000,0,0,Total,0,Sex,1000,0,200,All Ages,200,Labour Market category,5000,0,20100,Value,789194,A,Normal Value,F,Free (free for publication),Nm-2006d1d32288e0d1820328007d2018d0d200d20100,0,78
1,1820328007,Leeds,E08000035,local authorities: district / unitary (as of April 2019),434,0,2018,2018,2018,Projected Year,1000000,0,0,Total,0,Sex,1000,0,201,Aged 0 to 15,201,Labour Market category,5000,1,20100,Value,152358,A,Normal Value,F,Free (free for publication),Nm-2006d1d32288e0d1820328007d2018d0d201d20100,1,78
2,1820328007,Leeds,E08000035,local authorities: district / unitary (as of April 2019),434,0,2018,2018,2018,Projected Year,1000000,0,0,Total,0,Sex,1000,0,5,Aged 15-19,5,5 year age band,2000,2,20100,Value,47664,A,Normal Value,F,Free (free for publication),Nm-2006d1d32288e0d1820328007d2018d0d5d20100,2,78
3,1820328007,Leeds,E08000035,local authorities: district / unitary (as of April 2019),434,0,2019,2019,2019,Projected Year,1000000,1,0,Total,0,Sex,1000,0,200,All Ages,200,Labour Market category,5000,0,20100,Value,792799,A,Normal Value,F,Free (free for publication),Nm-2006d1d32288e0d1820328007d2019d0d200d20100,3,78
4,1820328007,Leeds,E08000035,local authorities: district / unitary (as of April 2019),434,0,2019,2019,2019,Projected Year,1000000,1,0,Total,0,Sex,1000,0,201,Aged 0 to 15,201,Labour Market category,5000,1,20100,Value,153762,A,Normal Value,F,Free (free for publication),Nm-2006d1d32288e0d1820328007d2019d0d201d20100,4,78
5,1820328007,Leeds,E08000035,local authorities: district / unitary (as of April 2019),434,0,2019,2019,2019,Projected Year,1000000,1,0,Total,0,Sex,1000,0,5,Aged 15-19,5,5 year age band,2000,2,20100,Value,49086,A,Normal Value,F,Free (free for publication),Nm-2006d1d32288e0d1820328007d2019d0d5d20100,5,78
6,1820328007,Leeds,E08000035,local authorities: district / unitary (as of April 2019),434,0,2020,2020,2020,Projected Year,1000000,2,0,Total,0,Sex,1000,0,200,All Ages,200,Labour Market category,5000,0,20100,Value,795565,A,Normal Value,F,Free (free for publication),Nm-2006d1d32288e0d1820328007d2020d0d200d20100,6,78
7,1820328007,Leeds,E08000035,local authorities: district / unitary (as of April 2019),434,0,2020,2020,2020,Projected Year,1000000,2,0,Total,0,Sex,1000,0,201,Aged 0 to 15,201,Labour Market category,5000,1,20100,Value,154890,A,Normal Value,F,Free (free for publication),Nm-2006d1d32288e0d1820328007d2020d0d201d20100,7,78
8,1820328007,Leeds,E08000035,local authorities: district / unitary (as of April 2019),434,0,2020,2020,2020,Projected Year,1000000,2,0,Total,0,Sex,1000,0,5,Aged 15-19,5,5 year age band,2000,2,20100,Value,49337,A,Normal Value,F,Free (free for publication),Nm-2006d1d32288e0d1820328007d2020d0d5d20100,8,78
9,1820328007,Leeds,E08000035,local authorities: district / unitary (as of April 2019),434,0,2021,2021,2021,Projected Year,1000000,3,0,Total,0,Sex,1000,0,200,All Ages,200,Labour Market category,5000,0,20100,Value,797797,A,Normal Value,F,Free (free for publication),Nm-2006d1d32288e0d1820328007d2021d0d200d20100,9,78
10,1820328007,Leeds,E08000035,local authorities: district / unitary (as of April 2019),434,0,2021,2021,2021,Projected Year,1000000,3,0,Total,0,Sex,1000,0,201,Aged 0 to 15,201,Labour Market category,5000,1,20100,Value,155726,A,Normal Value,F,Free (free for publication),Nm-2006d1d32288e0d1820328007d2021d0d201d20100,10,78
11,1820328007,Leeds,E08000035,local authorities: district / unitary (as of April 2019),434,0,2021,2021,2021,Projected Year,1000000,3,0,Total,0,Sex,1000,0,5,Aged 15-19,5,5 year age band,2000,2,20100,Value,50294,A,Normal Value,F,Free (free for publication),Nm-2006d1d32288e0d1820328007d2021d0d5d20100,11,78
12,1820328007,Leeds,E08000035,local authorities: district / unitary (as of April 2019),434,0,2022,2022,2022,Projected Year,1000000,4,0,Total,0,Sex,1000,0,200,All Ages,200,Labour Market category,5000,0,20100,Value,799873,A,Normal Value,F,Free (free for publication),Nm-2006d1d32288e0d1820328007d2022d0d200d20100,12,78
13,1820328007,Leeds,E08000035,local authorities: district / unitary (as of April 2019),434,0,2022,2022,2022,Projected Year,1000000,4,0,Total,0,Sex,1000,0,201,Aged 0 to 15,201,Labour Market category,5000,1,20100,Value,155956,A,Normal Value,F,Free (free for publication),Nm-2006d1d32288e0d1820328007d2022d0d201d20100,13,78
14,1820328007,Leeds,E08000035,local authorities: district / unitary (as of April 2019),434,0,2022,2022,2022,Projected Year,1000000,4,0,Total,0,Sex,1000,0,5,Aged 15-19,5,5 year age band,2000,2,20100,Value,51701,A,Normal Value,F,Free (free for publication),Nm-2006d1d32288e0d1820328007d2022d0d5d20100,14,78
15,1820328007,Leeds,E08000035,local authorities: district / unitary (as of April 2019),434,0,2023,2023,2023,Projected Year,1000000,5,0,Total,0,Sex,1000,0,200,All Ages,200,Labour Market category,5000,0,20100,Value,801994,A,Normal Value,F,Free (free for publication),Nm-2006d1d32288e0d1820328007d2023d0d200d20100,15,78
16,1820328007,Leeds,E08000035,local authorities: district / unitary (as of April 2019),434,0,2023,2023,2023,Projected Year,1000000,5,0,Total,0,Sex,1000,0,201,Aged 0 to 15,201,Labour Market category,5000,1,20100,Value,156027,A,Normal Value,F,Free (free for publication),Nm-2006d1d32288e0d1820328007d2023d0d201d20100,16,78
17,1820328007,Leeds,E08000035,local authorities: district / unitary (as of April 2019),434,0,2023,2023,2023,Projected Year,1000000,5,0,Total,0,Sex,1000,0,5,Aged 15-19,5,5 year age band,2000,2,20100,Value,53289,A,Normal Value,F,Free (free for publication),Nm-2006d1d32288e0d1820328007d2023d0d5d20100,17,78
18,1820328007,Leeds,E08000035,local authorities: district / unitary (as of April 2019),434,0,2024,2024,2024,Projected Year,1000000,6,0,Total,0,Sex,1000,0,200,All Ages,200,Labour Market category,5000,0,20100,Value,804219,A,Normal Value,F,Free (free for publication),Nm-2006d1d32288e0d1820328007d2024d0d200d20100,18,78
19,1820328007,Leeds,E08000035,local authorities: district / unitary (as of April 2019),434,0,2024,2024,2024,Projected Year,1000000,6,0,Total,0,Sex,1000,0,201,Aged 0 to 15,201,Labour Market category,5000,1,20100,Value,155983,A,Normal Value,F,Free (free for publication),Nm-2006d1d32288e0d1820328007d2024d0d201d20100,19,78
20,1820328007,Leeds,E08000035,local authorities: district / unitary (as of April 2019),434,0,2024,2024,2024,Projected Year,1000000,6,0,Total,0,Sex,1000,0,5,Aged 15-19,5,5 year age band,2000,2,20100,Value,54799,A,Normal Value,F,Free (free for publication),Nm-2006d1d32288e0d1820328007d2024d0d5d20100,20,78
21,1820328007,Leeds,E08000035,local authorities: district / unitary (as of April 2019),434,0,2025,2025,2025,Projected Year,1000000,7,0,Total,0,Sex,1000,0,200,All Ages,200,Labour Market category,5000,0,20100,Value,806609,A,Normal Value,F,Free (free for publication),Nm-2006d1d32288e0d1820328007d2025d0d200d20100,21,78
